,Seq Num,Obs ID,Instrument,Grating,Appr Exp ,Exposure ,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode ,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Gname
352,701955,10725,ACIS-I,NONE,5.0,4.97,Centaurus A,Murray,201.396,-43.056999999999995,archived,FAINT,TE,6.399931316,31838.0,4/26/2009 21:55,4/27/2010 8:21,10700038,ACTIVE GALAXIES AND QUASARS,GTO,10,10,None,NGC 5128
353,701956,10726,ACIS-I,NONE,5.0,5.08,Centaurus A,Murray,201.463,-42.96,archived,FAINT,TE,7.284787,37020.0,6/21/2009 7:03,6/22/2010 19:39,10700038,ACTIVE GALAXIES AND QUASARS,GTO,10,10,None,NGC 5128
354,600678,10868,ACIS-S,NONE,11.0,10.58,DDO 165,Jenkins,196.604,67.707,archived,FAINT,TE,17.73974332,187762.0,2/10/2009 17:45,2/11/2010 8:29,9620513,NORMAL GALAXIES,GO,9,9,None,UGC 08201
355,501052,10875,ACIS-S,NONE,60.0,59.39,NGC4449-SNR,Long,187.045,44.114,archived,VFAINT,TE,12.02074651,713859.0,3/7/2009 13:34,3/9/2010 9:20,10500639,SN, SNR AND ISOLATED NS,GO,10,10,NGC 4449
356,600737,10925,ACIS-S,NONE,42.0,44.54,M82,Strickland,148.976,69.649,archived,VFAINT,TE,11.17614635,497753.0,7/7/2009 8:11,7/9/2010 10:09,10610785,NORMAL GALAXIES,GO,10,10,None,MESSIER 082
357,401067,11032,ACIS-S,NONE,12.0,11.04,NGC 5408 X-1,Kaaret,210.832,-41.383,archived,FAINT,TE,0.998377434,11020.0,5/2/2010 3:36,5/3/2011 6:42,11400085,BH AND NS BINARIES,GO,11,11,HST,NGC 5408
358,401068,11033,ACIS-S,NONE,12.0,11.05,NGC 5408 X-1,Kaaret,210.832,-41.383,archived,FAINT,TE,1.003268683,11086.0,5/15/2010 13:15,5/17/2011 6:39,11400085,BH AND NS BINARIES,GO,11,11,HST,NGC 5408
359,401069,11034,ACIS-S,NONE,12.0,10.89,NGC 5408 X-1,Kaaret,210.832,-41.383,archived,FAINT,TE,1.0253905190000001,11169.0,5/28/2010 14:58,6/1/2011 6:39,11400085,BH AND NS BINARIES,GO,11,11,HST,NGC 5408
360,401115,11080,ACIS-S,NONE,15.0,14.85,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,13.6948217,203362.0,11/5/2009 13:14,11/9/2010 6:16,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
361,401116,11081,ACIS-S,NONE,15.0,13.69,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,13.97279026,191332.0,12/25/2009 2:20,12/28/2010 10:38,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
362,401117,11082,ACIS-S,NONE,15.0,14.86,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,13.28080787,197298.0,2/11/2010 8:56,2/12/2011 12:10,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
363,401118,11083,ACIS-S,NONE,15.0,14.73,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,12.57906446,185323.0,4/4/2010 13:41,4/6/2011 8:12,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
