srcid,src_num,detid,observation_id,observation_oid,ra,dec,duration,IAUNAME,ra_2,dec_2,IAUstripped,MJD,FIBERID,PLATE,CSC21P_name,CHANDRA_OBSID, OBSDATE, TIME
201475101010006,51,101475116010049,0147511601,56723,162.70077752177,57.422666237012,124111,4XMM J105048.2+572521,162.7006323779692,57.42259322006356,J105048.1+572521,56625.0,162.0,7095.0,2CXO J105048.1+572521,1674,2001-07-05,4.7
208273305010008,8,108273305010008,0827330501,70356,187.46810582789,11.677365563484,31867,4XMM J122952.3+114038,187.46800160071007,11.677433306180394,J122952.3+114038,53166.0,170.0,1615.0,2CXO J122952.3+114038,10241,2009-02-22,29.4
201487405010007,7,101487405010007,0148740501,56800,189.89262017932,47.537313090508,15946,4XMM J123934.2+473214,189.8928924522056,47.53749684612048,J123934.2+473214,53084.0,36.0,1453.0,2CXO J123934.2+473214,3073,2002-05-02,4.7
200131401010032,2,105541701010002,0554170101,60922,213.20671814603,-3.1220761703229,88472,4XMM J141249.6-030720,213.2070914558974,-3.122107893524904,J141249.7-030719,52378.0,84.0,916.0,2CXO J141249.7-030719,358,2000-08-14,8.8
201451902010030,41,109130801010041,0913080101,72751,229.06663520756,56.284058144663,78902,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
201451902010030,31,108243206010031,0824320601,70824,229.06671663844,56.283596944558,61563,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
202033621010102,120,102033621010102,0203362101,57711,149.64213992679,2.7254983876244,60737,4XMM J095834.1+024331,149.64263050185082,2.725658391021422,J095834.2+024332,55630.0,696.0,4737.0,2CXO J095834.2+024332,7999,2006-11-25,29.6
206503822010019,15,106503822010019,0650382201,61751,175.5047458535,58.362113245956,6034,4XMM J114201.1+582143,175.50555034429215,58.36184577724519,J114201.2+582142,56666.0,102.0,7099.0,2CXO J114201.2+582142,15136,2013-06-28,32.6
201475101010006,6,101475101010006,0147510101,56716,162.70090405283,57.422645906998,91659,4XMM J105048.2+572521,162.7006323779692,57.42259322006356,J105048.1+572521,56625.0,162.0,7095.0,2CXO J105048.1+572521,1674,2001-07-05,4.7
201451902010030,41,108243203010041,0824320301,69907,229.06646770482,56.283753258648,49103,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
200930302010113,112,100930302010113,0093030201,54723,322.48094597887,0.13333179981993,55291,4XMM J212955.4+000759,322.48087761401644,0.1337554973155317,J212955.3+000801,52945.0,151.0,1521.0,2CXO J212955.3+000801,552,2000-10-21,10.0
200597523015020,23,100597523015020,0059752301,54408,242.49647421164,54.077357077852,14229,4XMM J160959.2+540437,242.4965983546083,54.07715815689846,J160959.1+540437,56810.0,446.0,7563.0,2CXO J160959.1+540437,5863,2006-02-03,4.9
200813408010016,21,108039104010021,0803910401,68652,183.47874543411,2.7981810585976,114941,4XMM J121354.8+024753,183.4784141619083,2.797990779441992,J121354.8+024752,52024.0,633.0,517.0,2CXO J121354.8+024752,4110,2003-04-15,10.0
205562106010031,11,108270111010011,0827011101,69051,187.7552106697,10.48387326181,30468,4XMM J123101.2+102901,187.75557882624005,10.483065220310015,J123101.3+102859,52731.0,486.0,1232.0,2CXO J123101.3+102859,12254,2010-11-20,13.9
201115502015138,81,101115503010081,0111550301,55560,189.31135830603,62.084833919345,45523,4XMM J123714.3+620503,189.3097184217619,62.08449501009272,J123714.3+620504,56686.0,80.0,7118.0,2CXO J123714.3+620504,1671,2000-11-21,167.2
201454801010065,7,107628705010008,0762870501,66814,213.91292010187,-0.4798940212712,16747,4XMM J141539.0-002847,213.91265298682185,-0.4804919146188769,J141539.0-002849,55635.0,2.0,4034.0,2CXO J141539.0-002849,12904,2011-03-12,32.9
206524012010028,29,106524012010028,0652401201,62028,352.6235414624,0.0917023144561559,29835,4XMM J233029.6+000530,352.62400350999906,0.0917580754664007,J233029.7+000530,55447.0,577.0,4212.0,2CXO J233029.7+000530,8614,2008-08-06,8.8
202033604010063,22,102033605010023,0203360501,57695,150.58577604687,1.7706919069566,29037,4XMM J100220.5+014614,150.5860753559898,1.7706469048456182,J100220.6+014614,55630.0,93.0,4737.0,2CXO J100220.6+014614,8010,2007-04-27,33.6
204022502010029,30,104022502010029,0402250201,59101,225.54140751387,42.292594777479,23041,4XMM J150209.9+421733,225.54125037442495,42.292862614910725,J150209.8+421734,56089.0,600.0,6054.0,2CXO J150209.8+421734,7899,2007-09-26,13.0
200960201010003,3,100960201010003,0096020101,54845,184.52977564422,29.936448747276,38969,4XMM J121807.1+295611,184.5297869584357,29.9365062085182,J121807.1+295611,53827.0,228.0,2232.0,2CXO J121807.1+295611,849,2000-05-26,10.0
206733101015018,12,108218001010012,0821800101,69511,186.13990975808,12.814173524545,130200,4XMM J122433.5+124851,186.13973781231755,12.814245470158646,J122433.5+124851,55956.0,824.0,5399.0,2CXO J122433.5+124851,803,2000-05-19,28.5
201573601010066,62,101573601010066,0157360101,57155,197.25533852355,21.378446310808,27048,4XMM J130901.4+212243,197.2561808231883,21.378693930066778,J130901.4+212243,56066.0,246.0,5992.0,2CXO J130901.4+212243,2790,2002-05-21,19.2
201086701010031,34,106055403010033,0605540301,61583,156.02826163025,4.2754196178695,60738,4XMM J102406.8+041631,156.02859257398563,4.275559673155288,J102406.8+041632,52319.0,499.0,575.0,2CXO J102406.8+041632,909,2000-05-10,46.0
206738502010015,14,106738502010015,0673850201,62712,113.20021373188,31.595156265738,15745,4XMM J073248.0+313543,113.19982282302658,31.59554161507472,J073247.9+313543,55538.0,255.0,4444.0,2CXO J073247.9+313543,530,2000-09-05,10.0
200842307010018,21,100842307010018,0084230701,54590,154.37669656615,39.071665739142,22499,4XMM J101730.4+390417,154.3765234112674,39.07159914528026,J101730.3+390417,55617.0,669.0,4563.0,2CXO J101730.3+390417,903,2000-10-11,36.3
201475112010065,27,106060302010024,0606030201,61624,163.74524630181,57.649508542217,24343,4XMM J105458.9+573856,163.745977772576,57.64882814060254,J105459.0+573855,56666.0,492.0,7102.0,2CXO J105459.0+573855,1683,2001-07-05,4.7
209026301010020,20,109026301010020,0902630101,72303,137.39142617049,51.709672067194,55764,4XMM J090933.9+514234,137.3912011741122,51.71052157796798,J090933.9+514237,56598.0,370.0,5729.0,2CXO J090933.9+514237,5377,2005-02-10,2.9
201109801010003,3,101109801010003,0110980101,55390,170.04350338366,13.659518726572,50761,4XMM J112010.4+133934,170.04347284787116,13.659511766765624,J112010.4+133934,56003.0,515.0,5370.0,2CXO J112010.4+133934,2039,2000-12-02,58.0
200257402010017,17,100257402010017,0025740201,54183,201.25324123621,30.33218573796,36299,4XMM J132500.7+301955,201.2528403325853,30.332109390535724,J132500.6+301955,56329.0,814.0,6489.0,2CXO J132500.6+301955,9404,2008-03-14,30.4
202004309010001,1,105059304010001,0505930401,60392,210.21908264875,-1.7530817302239,21789,4XMM J140052.5-014511,210.21903271807355,-1.753091739363961,J140052.5-014511,52443.0,429.0,915.0,2CXO J140052.5-014511,9557,2008-03-10,49.4
201090701010028,7,106754401010005,0675440101,62842,158.81526705825,39.652889788382,36210,4XMM J103515.6+393909,158.81524459541015,39.65264475174022,J103515.6+393909,53003.0,270.0,1432.0,2CXO J103515.6+393909,3319,2002-03-26,5.1
201096610010133,127,101096610010133,0109661001,55274,203.59270505557,37.80120747845,85604,4XMM J133422.2+374804,203.59236029131372,37.80132141291022,J133422.1+374804,55333.0,69.0,3984.0,2CXO J133422.1+374804,2235,2001-06-08,30.0
201485605010115,112,101485605010115,0148560501,56782,157.6798667972,5.388709713703,86417,4XMM J103043.1+052319,157.67964259077212,5.388682060862841,J103043.1+052319,52325.0,526.0,576.0,2CXO J103043.1+052319,3357,2002-01-29,8.0
200943101010039,50,100943102010048,0094310201,54778,334.34880367524,0.28107505336207,79399,4XMM J221723.7+001651,334.3487153314222,0.2811667310780426,J221723.6+001652,55499.0,980.0,4200.0,2CXO J221723.6+001652,1694,2001-07-10,77.9
200930301010080,76,100930301010080,0093030101,54722,198.04181797829,-1.4042586566931,34799,4XMM J131210.0-012415,198.0415864069312,-1.4039361737743956,J131210.0-012413,55591.0,749.0,4053.0,2CXO J131210.0-012413,1663,2001-01-07,10.7
201082602010142,74,108218001010074,0821800101,69511,186.4416797116,12.883412904716,130200,4XMM J122546.0+125301,186.44233378931585,12.883613997070755,J122546.1+125301,53120.0,559.0,1614.0,2CXO J122546.1+125301,318,2000-04-07,14.6
200960201010003,14,103040305015013,0304030501,58568,184.52969925456,29.936385948456,95070,4XMM J121807.1+295611,184.5297869584357,29.9365062085182,J121807.1+295611,53827.0,228.0,2232.0,2CXO J121807.1+295611,849,2000-05-26,10.0
204049672010015,11,104049672010015,0404967201,59354,33.551338788027,-4.3936526981262,10051,4XMM J021412.2-042338,33.55080582304748,-4.39427061947865,J021412.1-042339,56662.0,723.0,7237.0,2CXO J021412.1-042339,20536,2017-09-24,9.9
205034902010015,18,105034902010015,0503490201,60111,340.84650912669,-9.5183682187439,128557,4XMM J224323.1-093106,340.8465602258218,-9.518316826661277,J224323.1-093105,52224.0,63.0,722.0,2CXO J224323.1-093105,3260,2002-12-23,20.5
206776701390002,5,107424302010005,0742430201,65211,31.492297109048,-6.220435166814,29250,4XMM J020558.1-061313,31.492178330531544,-6.220464501372674,J020558.1-061313,56660.0,271.0,7238.0,2CXO J020558.1-061313,16575,2015-06-24,5.0
202006301010012,12,108304201010012,0830420101,69755,134.92448118641,39.169997540678,59162,4XMM J085941.8+391011,134.92399453898753,39.16988027030593,J085941.7+391011,55973.0,742.0,4608.0,2CXO J085941.7+391011,6862,2006-01-26,14.9
209016303010032,32,109016303010032,0901630301,72358,180.72482315312,57.833510830894,4762,4XMM J120253.9+575000,180.72525951161677,57.833073345962575,J120254.1+574958,56658.0,1000.0,7091.0,2CXO J120254.1+574958,5757,2005-09-02,59.0
204050803010051,105,108851801010105,0885180101,71920,199.02198794915,42.046222677062,129709,4XMM J131605.2+420244,199.0217658120117,42.04577589347901,J131605.2+420244,56368.0,152.0,6620.0,2CXO J131605.2+420244,2197,2001-08-27,28.0
201454801010016,47,107628705010047,0762870501,66814,213.65602583036,-0.46723783249851,16747,4XMM J141437.3-002800,213.65608128931603,-0.4667476820660269,J141437.4-002800,55635.0,24.0,4034.0,2CXO J141437.4-002800,12908,2011-12-18,12.9
201445701010002,3,106711508010003,0671150801,62491,206.90203566942,17.567864418255,8682,4XMM J134736.4+173404,206.90166743381383,17.56793972168584,J134736.4+173404,54233.0,442.0,2742.0,2CXO J134736.4+173404,10561,2008-11-29,2.0
204008303010082,88,104008303010082,0400830301,58965,137.09158180976,39.694266352831,58042,4XMM J090821.9+394139,137.09198175886763,39.693902727244776,J090822.0+394138,55971.0,99.0,4605.0,2CXO J090822.0+394138,5625,2005-03-02,19.7
201405506010070,67,101405506010070,0140550601,56518,151.83179726554,12.854057332924,20338,4XMM J100719.6+125113,151.8320873696954,12.853741928461334,J100719.7+125113,56001.0,536.0,5333.0,2CXO J100719.7+125113,5606,2005-01-05,41.1
205007601010021,20,105007601010021,0500760101,59833,168.19470053204,13.400452877444,49964,4XMM J111246.7+132401,168.19464310839157,13.40038509522985,J111246.7+132401,53379.0,208.0,1752.0,2CXO J111246.7+132401,4216,2003-11-01,39.6
202033607010121,72,102033602010071,0203360201,57692,150.49051727566,2.6345115757321,30976,4XMM J100157.7+023804,150.49064254989906,2.63462829760258,J100157.7+023804,55630.0,940.0,4737.0,2CXO J100157.7+023804,15207,2012-11-25,14.9
204044102010001,1,104044102010001,0404410201,59271,18.842534630047,0.25512425772861,50016,4XMM J011522.2+001518,18.84246855558638,0.2551929880827085,J011522.1+001518,52202.0,497.0,695.0,2CXO J011522.1+001518,3204,2002-11-01,37.6
201109302010047,25,108027104010025,0802710401,68553,150.24814200176,55.861435962879,15764,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,362,2000-04-16,47.7
202033608010075,40,102033609010040,0203360901,57699,150.42497421654,2.0658700991359,34048,4XMM J100141.9+020357,150.4248867555845,2.06614075852984,J100141.9+020358,52235.0,231.0,501.0,2CXO J100141.9+020358,8005,2007-04-25,31.6
201090701010028,19,108650101010019,0865010101,71106,158.81534720133,39.652583192659,88140,4XMM J103515.6+393909,158.81524459541015,39.65264475174022,J103515.6+393909,53003.0,270.0,1432.0,2CXO J103515.6+393909,3319,2002-03-26,5.1
200960201010003,21,103040303010021,0304030301,58566,184.52953994915,29.936470756018,98471,4XMM J121807.1+295611,184.5297869584357,29.9365062085182,J121807.1+295611,53827.0,228.0,2232.0,2CXO J121807.1+295611,849,2000-05-26,10.0
201451902010030,38,108243204010038,0824320401,69921,229.06659124894,56.283712383368,64463,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
209046102010089,89,109046102010089,0904610201,72512,230.48604256094,7.8022097581355,44071,4XMM J152156.6+074807,230.48493431155907,7.8022918187932495,J152156.3+074807,55709.0,708.0,4889.0,2CXO J152156.3+074807,900,2000-04-03,57.3
206524013010026,26,106524013010026,0652401301,62029,353.31140735115,0.0196383549104739,33679,4XMM J233314.7+000109,353.3114990020482,0.0193696389667523,J233314.7+000109,51821.0,467.0,384.0,2CXO J233314.7+000109,8605,2008-08-05,8.8
201112702015016,30,105517803010019,0551780301,60755,227.66191737431,5.8917756090739,42639,4XMM J151038.8+055331,227.66187996851968,5.892436472743274,J151038.8+055332,55710.0,408.0,4878.0,2CXO J151038.8+055332,891,2000-04-12,19.8
208622603010065,65,108622603010065,0862260301,71487,141.87365004376,29.784260865811,84520,4XMM J092729.6+294703,141.87374243651794,29.784368377030276,J092729.7+294703,56272.0,734.0,5803.0,2CXO J092729.7+294703,10721,2009-02-23,26.7
208851001010149,149,108851001010149,0885100101,71590,207.85094982253,40.218701204029,53464,4XMM J135124.2+401307,207.85087657768952,40.21870737902645,J135124.2+401307,55707.0,747.0,4710.0,2CXO J135124.2+401307,20773,2018-08-17,15.0
201451902010030,56,108040907010056,0804090701,68275,229.0682379068,56.283734666427,40039,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
206524003010035,30,106524003010035,0652400301,62019,252.24262070597,34.820911817028,35034,4XMM J164858.2+344915,252.24250619573127,34.820976182650384,J164858.1+344915,55831.0,862.0,5196.0,2CXO J164858.1+344915,8640,2007-11-27,8.6
202033604010063,37,103023505010039,0302350501,58367,150.5858383107,1.7705250302578,18038,4XMM J100220.5+014614,150.5860753559898,1.7706469048456182,J100220.6+014614,55630.0,93.0,4737.0,2CXO J100220.6+014614,8010,2007-04-27,33.6
200960201010003,9,107637904010010,0763790401,66207,184.52977571479,29.936506401237,26341,4XMM J121807.1+295611,184.5297869584357,29.9365062085182,J121807.1+295611,53827.0,228.0,2232.0,2CXO J121807.1+295611,849,2000-05-26,10.0
