IAUNAME,CSC21P_name
4XMM J073248.0+313543,2CXO J073247.9+313543
4XMM J100316.1+024003,2CXO J100316.1+024002
4XMM J083130.3+524503,2CXO J083130.4+524502
4XMM J012830.0+290301,2CXO J012830.1+290300
4XMM J085356.8+031033,2CXO J085356.8+031033
4XMM J102406.8+041631,2CXO J102406.8+041632
4XMM J173809.3+584253,2CXO J173809.3+584253
4XMM J123645.0+290305,2CXO J123645.2+290307
4XMM J130848.1+213218,2CXO J130848.2+213218
4XMM J090449.1+340555,2CXO J090449.0+340555
4XMM J100719.6+125113,2CXO J100719.7+125113
4XMM J142115.8+531946,2CXO J142115.9+531948
4XMM J021916.0-055726,2CXO J021916.0-055726
4XMM J121742.0+034631,2CXO J121742.0+034630
4XMM J123612.7+285900,2CXO J123612.8+285858
4XMM J233731.7+002559,2CXO J233731.7+002600
4XMM J141523.5+360936,2CXO J141523.5+360936
4XMM J122926.4+132020,2CXO J122926.4+132019
4XMM J140048.2+024703,2CXO J140048.2+024701
4XMM J121837.0+143044,2CXO J121837.0+143044
4XMM J122137.4+295701,2CXO J122137.4+295701
4XMM J091858.8+514339,2CXO J091858.7+514340
4XMM J162803.8+274141,2CXO J162803.9+274139
4XMM J015948.6+003018,2CXO J015948.6+003021
4XMM J095903.0+021050,2CXO J095902.9+021048
4XMM J111307.8+132331,2CXO J111307.8+132331
4XMM J161216.9+293422,2CXO J161216.7+293423
4XMM J130852.2+212818,2CXO J130852.2+212819
4XMM J091533.6+293606,2CXO J091533.6+293604
4XMM J104604.1+042428,2CXO J104604.1+042429
4XMM J080541.7+241028,2CXO J080541.6+241029
4XMM J234319.2+002117,2CXO J234319.2+002116
4XMM J103312.6+574203,2CXO J103312.7+574203
4XMM J122839.0+440149,2CXO J122839.0+440150
4XMM J212957.0+000208,2CXO J212957.0+000208
4XMM J111558.2+012638,2CXO J111558.3+012638
4XMM J105909.0+074851,2CXO J105908.9+074853
4XMM J110840.3+340550,2CXO J110840.1+340552
4XMM J162948.1+400226,2CXO J162948.0+400224
4XMM J121354.8+024753,2CXO J121354.8+024752
4XMM J145753.2+222423,2CXO J145753.2+222422
4XMM J091055.8+174218,2CXO J091055.7+174218
4XMM J080211.4+004942,2CXO J080211.2+004942
4XMM J131155.5+220100,2CXO J131155.5+220059
4XMM J123614.2+255022,2CXO J123614.3+255022
4XMM J134327.7+000008,2CXO J134327.8+000008
4XMM J140134.4+542031,2CXO J140134.7+542032
4XMM J141539.0-002847,2CXO J141539.0-002849
4XMM J104153.9+395944,2CXO J104153.7+395946
4XMM J011522.2+001518,2CXO J011522.1+001518
4XMM J153742.4+115829,2CXO J153742.3+115831
4XMM J091347.3+295555,2CXO J091347.3+295554
4XMM J101149.7+462900,2CXO J101149.7+462901
4XMM J120247.1+574550,2CXO J120247.2+574550
4XMM J024738.6-033645,2CXO J024738.6-033645
4XMM J081937.8+210652,2CXO J081937.7+210652
4XMM J160959.2+540437,2CXO J160959.1+540437
4XMM J121819.3+291512,2CXO J121819.2+291513
4XMM J121422.6+025748,2CXO J121422.8+025749
4XMM J135023.7+401541,2CXO J135023.7+401543
4XMM J022847.4+004319,2CXO J022847.4+004320
4XMM J022531.9-044344,2CXO J022531.8-044345
4XMM J151005.1+053804,2CXO J151005.1+053805
4XMM J112312.8+014226,2CXO J112312.7+014223
4XMM J221723.7+001651,2CXO J221723.6+001652
4XMM J132110.0+330353,2CXO J132109.9+330353
4XMM J122847.1+135327,2CXO J122847.2+135328
4XMM J172039.0+263348,2CXO J172039.1+263348
4XMM J081358.4+542705,2CXO J081358.6+542703
4XMM J122952.3+114038,2CXO J122952.3+114038
4XMM J123934.2+473214,2CXO J123934.2+473214
4XMM J095834.1+024331,2CXO J095834.2+024332
4XMM J114201.1+582143,2CXO J114201.2+582142
4XMM J212955.4+000759,2CXO J212955.3+000801
4XMM J123101.2+102901,2CXO J123101.3+102859
4XMM J233029.6+000530,2CXO J233029.7+000530
4XMM J150209.9+421733,2CXO J150209.8+421734
4XMM J101730.4+390417,2CXO J101730.3+390417
4XMM J112010.4+133934,2CXO J112010.4+133934
4XMM J132500.7+301955,2CXO J132500.6+301955
4XMM J133422.2+374804,2CXO J133422.1+374804
4XMM J103043.1+052319,2CXO J103043.1+052319
4XMM J131210.0-012415,2CXO J131210.0-012413
4XMM J224323.1-093106,2CXO J224323.1-093105
4XMM J120253.9+575000,2CXO J120254.1+574958
4XMM J090821.9+394139,2CXO J090822.0+394138
4XMM J111246.7+132401,2CXO J111246.7+132401
4XMM J152156.6+074807,2CXO J152156.3+074807
4XMM J092729.6+294703,2CXO J092729.7+294703
4XMM J135124.2+401307,2CXO J135124.2+401307
4XMM J164858.2+344915,2CXO J164858.1+344915
4XMM J021731.1-051820,2CXO J021731.1-051821
4XMM J214411.7+281018,2CXO J214411.7+281019
4XMM J004516.1-014952,2CXO J004515.9-014954
4XMM J111437.0+125215,2CXO J111437.0+125215
